date,contour,pct_snow,pct_clouds
2017-07-02,1300,0.054,0.0
2017-07-02,1400,0.102,0.0
2017-07-02,1500,0.207,0.0
2017-07-02,1600,0.339,0.0
2017-07-02,1700,0.646,0.0
2017-07-02,1800,0.763,0.0
2017-07-02,1900,0.805,0.0
2017-07-02,2000,0.839,0.0
2017-07-02,2100,0.865,0.0
2017-07-02,2200,0.899,0.0
2017-07-02,2300,0.923,0.0
2017-07-02,2400,0.935,0.0
2017-07-02,2500,0.954,0.0
2017-07-02,2600,0.965,0.0
2017-07-02,2700,0.956,0.0
2017-07-02,2800,0.96,0.0
2017-07-02,2900,0.954,0.0
2017-07-02,3000,0.922,0.0
2017-07-02,3100,0.903,0.0
2017-07-02,3200,0.898,0.0
2017-07-02,3300,0.932,0.0
2017-07-02,3400,0.954,0.0
2017-07-17,1300,0.018,0.0
2017-07-17,1400,0.032,0.0
2017-07-17,1500,0.062,0.0
2017-07-17,1600,0.028,0.0
2017-07-17,1700,0.244,0.0
2017-07-17,1800,0.505,0.0
2017-07-17,1900,0.644,0.0
2017-07-17,2000,0.718,0.0
2017-07-17,2100,0.776,0.0
2017-07-17,2200,0.833,0.0
2017-07-17,2300,0.877,0.0
2017-07-17,2400,0.898,0.0
2017-07-17,2500,0.921,0.0
2017-07-17,2600,0.945,0.0
2017-07-17,2700,0.95,0.0
2017-07-17,2800,0.948,0.0
2017-07-17,2900,0.934,0.0
2017-07-17,3000,0.883,0.0
2017-07-17,3100,0.853,0.0
2017-07-17,3200,0.863,0.0
2017-07-17,3300,0.889,0.0
2017-07-17,3400,0.825,0.0
2017-07-22,1300,0.007,0.197
2017-07-22,1400,0.019,0.197
2017-07-22,1500,0.026,0.197
2017-07-22,1600,0.013,0.197
2017-07-22,1700,0.126,0.197
2017-07-22,1800,0.304,0.197
2017-07-22,1900,0.553,0.197
2017-07-22,2000,0.6,0.197
2017-07-22,2100,0.607,0.197
2017-07-22,2200,0.655,0.197
2017-07-22,2300,0.765,0.197
2017-07-22,2400,0.791,0.197
2017-07-22,2500,0.791,0.197
2017-07-22,2600,0.838,0.197
2017-07-22,2700,0.897,0.197
2017-07-22,2800,0.83,0.197
2017-07-22,2900,0.836,0.197
2017-07-22,3000,0.836,0.197
2017-07-22,3100,0.79,0.197
2017-07-22,3200,0.802,0.197
2017-07-22,3300,0.823,0.197
2017-07-22,3400,0.669,0.197
2017-08-06,1300,0.0,0.934
2017-08-06,1400,0.034,0.934
2017-08-06,1500,0.0,0.934
2017-08-06,1600,0.0,0.934
2017-08-06,1700,0.0,0.934
2017-08-06,1800,0.73,0.934
2017-08-06,1900,0.629,0.934
2017-08-06,2000,0.616,0.934
2017-08-06,2100,0.622,0.934
2017-08-06,2200,0.708,0.934
2017-08-06,2300,0.82,0.934
2017-08-06,2400,0.868,0.934
2017-08-06,2500,0.921,0.934
2017-08-06,2600,0.93,0.934
2017-08-06,2700,0.937,0.934
2017-08-06,2800,0.903,0.934
2017-08-06,2900,0.895,0.934
2017-08-06,3000,0.839,0.934
2017-08-06,3100,0.704,0.934
2017-08-06,3200,0.7,0.934
2017-08-06,3300,0.676,0.934
2017-08-06,3400,0.591,0.934
2017-08-11,1300,0.0,0.198
2017-08-11,1400,0.0,0.198
2017-08-11,1500,0.0,0.198
2017-08-11,1600,0.004,0.198
2017-08-11,1700,0.063,0.198
